connector_id,connector_name,source_system,destination_table,status,last_sync_completed,sync_frequency_minutes,rows_synced_last,schema_changes_detected,error_message,owner
conn-product-telemetry,product_telemetry,Usage Tracking,product_usage_events,delayed,2025-07-09T19:00:00,15,8420,False,Sync delayed: upstream rate limiting detected,Alex Thompson
conn-stripe-billing,stripe_billing,Billing,invoices,connected,2025-07-10T13:48:00,15,4210,False,,Alex Thompson
conn-salesforce-crm,salesforce_crm,CRM,opportunities,connected,2025-07-10T13:15:00,60,1850,True,Warning: 2 new fields detected in source schema,Jordan Lee
conn-cs-platform,cs_platform,Customer Success,customer_health,broken,2025-07-07T07:00:00,360,0,False,Authentication token expired. Re-authentication required.,Jordan Lee
conn-marketing-platform,marketing_platform,Marketing,marketing_spend,broken,2025-07-08T00:00:00,360,0,False,API rate limit exceeded. Connector paused.,Sam Patel
conn-zendesk,zendesk_support,Support,support_tickets,connected,2025-07-10T13:30:00,60,2340,False,,Sam Patel
conn-contract-mgmt,contract_management,Contract Management,contracts,connected,2025-07-10T12:00:00,360,728,False,,Alex Thompson
conn-account-master,account_master,CRM,accounts,connected,2025-07-10T13:40:00,60,750,False,,Jordan Lee
conn-payment-gateway,payment_gateway,Payments,invoices,delayed,2025-07-10T10:00:00,30,312,False,Webhook backlog is draining slower than expected,Alex Thompson
conn-web-analytics,web_analytics,Website,marketing_spend,connected,2025-07-10T13:05:00,60,9800,True,Campaign attribution field renamed in source,Sam Patel
conn-product-catalog,product_catalog,Product Catalog,contracts,connected,2025-07-10T13:42:00,120,95,False,,Data Platform
conn-data-quality,data_quality_rules,Warehouse,metric_dependency_map,broken,2025-07-09T05:00:00,60,0,False,Rule runner failed after BigQuery permission change,Data Platform
