account_id,account_name,tier,arr,mrr,pricing_model,owner,csm,segment,status,created_at
ACC-001,DataStream Corp,Growth,46451.91,3870.99,usage-based,Priya Patel,Lisa Chang,Mid-Market,churned,2024-10-10T14:00:00
ACC-002,CloudPeak Analytics,Enterprise,231247.59,19270.63,usage-based,Ana Rodriguez,Mike Rivera,Enterprise,active,2023-09-30T14:00:00
ACC-003,MetricFlow Inc,Enterprise,194898.61,16241.55,usage-based,Marcus Johnson,Lisa Chang,Enterprise,active,2023-12-26T14:00:00
ACC-004,SignalPath Systems,Enterprise,460622.53,38385.21,usage-based,Ana Rodriguez,Rachel Kim,Enterprise,active,2024-10-13T14:00:00
ACC-005,NexusData Solutions,Growth,91517.95,7626.5,usage-based,Sarah Chen,Lisa Chang,Mid-Market,active,2023-06-12T14:00:00
ACC-006,PulsePoint Technologies,Growth,91461.1,7621.76,usage-based,Marcus Johnson,Tom Bradley,Mid-Market,active,2025-02-11T14:00:00
ACC-007,StreamForge Labs,Enterprise,228358.19,19029.85,usage-based,Priya Patel,David Park,Enterprise,active,2024-08-29T14:00:00
ACC-008,DataBridge AI,Growth,171892.26,14324.36,usage-based,Ana Rodriguez,Mike Rivera,Mid-Market,active,2024-05-04T14:00:00
ACC-009,FlowState Computing,Enterprise,326589.14,27215.76,usage-based,Ana Rodriguez,Tom Bradley,Enterprise,active,2023-10-13T14:00:00
ACC-010,Quantum Metrics Corp,Enterprise,214777.57,17898.13,usage-based,Marcus Johnson,Tom Bradley,Enterprise,active,2025-03-06T14:00:00
ACC-011,TerraData Systems,Starter,37460.44,3121.7,hybrid,Priya Patel,Rachel Kim,SMB,active,2023-08-15T14:00:00
ACC-012,AeroSync Inc,Growth,70952.43,5912.7,usage-based,Priya Patel,Lisa Chang,Mid-Market,active,2023-07-10T14:00:00
ACC-013,VortexCloud Solutions,Enterprise,648327.29,54027.27,usage-based,Sarah Chen,David Park,Enterprise,active,2023-08-15T14:00:00
ACC-014,PrismAnalytics Co,Enterprise,544563.4,45380.28,usage-based,Marcus Johnson,Rachel Kim,Enterprise,active,2024-05-03T14:00:00
ACC-015,CipherStream Tech,Enterprise,642695.59,53557.97,usage-based,Ana Rodriguez,Lisa Chang,Enterprise,active,2023-06-25T14:00:00
ACC-016,HyperScale Data,Enterprise,564156.79,47013.07,usage-based,Sarah Chen,Lisa Chang,Enterprise,active,2023-02-05T14:00:00
ACC-017,MeridianFlow Inc,Enterprise,337726.52,28143.88,usage-based,Priya Patel,Mike Rivera,Enterprise,active,2024-10-22T14:00:00
ACC-018,ApexCloud Systems,Starter,27284.12,2273.68,hybrid,Marcus Johnson,Rachel Kim,SMB,active,2024-04-16T14:00:00
