ticket_id,account_id,subject,priority,status,created_at,resolved_at,category
TKT-a14bf090,ACC-002,SSO integration,medium,resolved,2025-06-07T14:00:00,2025-06-11T20:00:00,feature_request
TKT-601f8991,ACC-002,Missing overage charges,low,open,2025-06-25T14:00:00,,billing
TKT-26c4f531,ACC-003,Dashboard not loading,medium,resolved,2025-05-27T14:00:00,2025-05-30T09:00:00,bug
TKT-2f6f937c,ACC-003,Dashboard not loading,high,resolved,2025-06-27T14:00:00,2025-07-01T02:00:00,bug
TKT-a064dd15,ACC-003,Authentication error,medium,resolved,2025-07-04T14:00:00,2025-07-06T21:00:00,technical
TKT-33f9ffef,ACC-003,Integration setup help,medium,resolved,2025-06-22T14:00:00,2025-06-24T00:00:00,onboarding
TKT-4a40ed68,ACC-004,API latency spike,medium,resolved,2025-05-13T14:00:00,2025-05-16T02:00:00,technical
TKT-feec62f5,ACC-005,Team training request,low,resolved,2025-06-16T14:00:00,2025-06-18T15:00:00,onboarding
TKT-b6a0174e,ACC-005,Incorrect invoice amount,medium,resolved,2025-06-16T14:00:00,2025-06-17T00:00:00,billing
TKT-44f2d218,ACC-006,Missing overage charges,low,resolved,2025-07-06T14:00:00,2025-07-09T23:00:00,billing
TKT-09119bb2,ACC-006,API latency spike,low,resolved,2025-06-19T14:00:00,2025-06-21T12:00:00,technical
TKT-242d29b2,ACC-006,API v2 access,medium,resolved,2025-06-30T14:00:00,2025-07-04T08:00:00,feature_request
TKT-eac29740,ACC-007,SSO integration,medium,resolved,2025-06-27T14:00:00,2025-07-03T10:00:00,feature_request
TKT-8ed9326d,ACC-007,SSO integration,medium,resolved,2025-06-30T14:00:00,2025-07-05T14:00:00,feature_request
TKT-8326699f,ACC-007,Authentication error,medium,open,2025-05-30T14:00:00,,technical
TKT-0ec0dd7d,ACC-008,Authentication error,medium,open,2025-05-06T14:00:00,,technical
TKT-d1cfc92d,ACC-008,Custom dashboard request,critical,resolved,2025-06-09T14:00:00,2025-06-10T22:00:00,feature_request
TKT-32d38ea6,ACC-008,Missing overage charges,medium,resolved,2025-05-10T14:00:00,2025-05-13T21:00:00,billing
TKT-fea5dd54,ACC-008,Bulk export capability,medium,resolved,2025-06-12T14:00:00,2025-06-13T14:00:00,feature_request
